"繁體中文"


1

traditionalChineseFont.tga  16  1  8  14 16
traditionalChineseFont.txt


langHasWords  0




settings       "設定"

newGame        "新遊戲"

resume         "繼續"

quit           "離開"


musicVolume    "音樂音量"

effectsVolume  "音效音量"

fullscreen     "全螢幕"

languages      "語言"

controls       "控制"

back           "返回"


shootDesc      "射擊"
bombDesc       "炸彈"

press          "按下"

defaults       "恢復預設"




pawn           "兵"
pawnDesc       "向前一或兩格，斜前吃子"

bishop         "象"
bishopDesc     "走斜線"

knight         "馬"
knightDesc     "走日字"

rook           "車"
rookDesc       "走直線"

queen          "后"
queenDesc      "直斜皆可走"

king           "王"
kingDesc       "每步走一格，方向不限"

laserRook      "雷射車"
laserRookDesc  "移動後沿直線發射雷射"

laserPawn      "雷射兵"
laserPawnDesc  "移動後向前發射雷射"

doublingPawn   "倍增兵"
doublingPawnDesc  "使正前方棋子的特殊能力加倍"

addingRook     "加成車"
addingRookDesc "使相鄰棋子的特殊能力加一"

rocket         "蘇聯火箭"
rocketDesc     "隨機摧毀一枚敵方棋子，然後自爆"
